Volts_Full_Scale,Bandwidth,Scope,RMS_Noise,Intrinsic Jitter
3.20E-02,1.30E+10,UXR,1.50E-04,2.50E-14
8.00E-02,1.30E+10,UXR,2.10E-04,2.50E-14
1.00E-01,1.30E+10,UXR,2.58E-04,2.50E-14
1.60E-01,1.30E+10,UXR,3.77E-04,2.50E-14
4.00E-01,1.30E+10,UXR,8.10E-04,2.50E-14
8.00E-01,1.30E+10,UXR,1.58E-03,2.50E-14
1.60E+00,1.30E+10,UXR,3.50E-03,2.50E-14
4.00E+00,1.30E+10,UXR,7.86E-03,2.50E-14
8.00E+00,1.30E+10,UXR,1.55E-02,2.50E-14
3.20E-02,1.60E+10,UXR,1.65E-04,2.50E-14
8.00E-02,1.60E+10,UXR,2.31E-04,2.50E-14
1.00E-01,1.60E+10,UXR,2.86E-04,2.50E-14
1.60E-01,1.60E+10,UXR,4.14E-04,2.50E-14
4.00E-01,1.60E+10,UXR,8.78E-04,2.50E-14
8.00E-01,1.60E+10,UXR,1.75E-03,2.50E-14
1.60E+00,1.60E+10,UXR,3.77E-03,2.50E-14
4.00E+00,1.60E+10,UXR,8.74E-03,2.50E-14
8.00E+00,1.60E+10,UXR,1.72E-02,2.50E-14
3.20E-02,2.00E+10,UXR,1.88E-04,2.50E-14
8.00E-02,2.00E+10,UXR,2.62E-04,2.50E-14
1.00E-01,2.00E+10,UXR,3.13E-04,2.50E-14
1.60E-01,2.00E+10,UXR,4.69E-04,2.50E-14
4.00E-01,2.00E+10,UXR,9.75E-04,2.50E-14
8.00E-01,2.00E+10,UXR,1.92E-03,2.50E-14
1.60E+00,2.00E+10,UXR,4.31E-03,2.50E-14
4.00E+00,2.00E+10,UXR,9.61E-03,2.50E-14
8.00E+00,2.00E+10,UXR,1.92E-02,2.50E-14
3.20E-02,2.50E+10,UXR,2.12E-04,2.50E-14
8.00E-02,2.50E+10,UXR,3.03E-04,2.50E-14
1.00E-01,2.50E+10,UXR,3.65E-04,2.50E-14
1.60E-01,2.50E+10,UXR,5.41E-04,2.50E-14
4.00E-01,2.50E+10,UXR,1.16E-03,2.50E-14
8.00E-01,2.50E+10,UXR,2.24E-03,2.50E-14
1.60E+00,2.50E+10,UXR,4.97E-03,2.50E-14
4.00E+00,2.50E+10,UXR,1.12E-02,2.50E-14
8.00E+00,2.50E+10,UXR,2.23E-02,2.50E-14
3.20E-02,3.30E+10,UXR,2.66E-04,2.50E-14
8.00E-02,3.30E+10,UXR,3.88E-04,2.50E-14
1.00E-01,3.30E+10,UXR,4.70E-04,2.50E-14
1.60E-01,3.30E+10,UXR,7.02E-04,2.50E-14
4.00E-01,3.30E+10,UXR,1.48E-03,2.50E-14
8.00E-01,3.30E+10,UXR,2.91E-03,2.50E-14
1.60E+00,3.30E+10,UXR,6.48E-03,2.50E-14
4.00E+00,3.30E+10,UXR,1.47E-02,2.50E-14
8.00E+00,3.30E+10,UXR,2.88E-02,2.50E-14
6.00E-02,4.00E+10,UXR,3.40E-04,2.50E-14
1.00E-01,4.00E+10,UXR,4.90E-04,2.50E-14
1.60E-01,4.00E+10,UXR,7.20E-04,2.50E-14
4.00E-01,4.00E+10,UXR,1.60E-03,2.50E-14
8.00E-01,4.00E+10,UXR,3.40E-03,2.50E-14
1.60E+00,4.00E+10,UXR,6.70E-03,2.50E-14
4.00E+00,4.00E+10,UXR,1.60E-02,2.50E-14
6.00E-02,5.00E+10,UXR,4.10E-04,2.50E-14
1.00E-01,5.00E+10,UXR,5.60E-04,2.50E-14
1.60E-01,5.00E+10,UXR,8.20E-04,2.50E-14
4.00E-01,5.00E+10,UXR,1.80E-03,2.50E-14
8.00E-01,5.00E+10,UXR,3.70E-03,2.50E-14
1.60E+00,5.00E+10,UXR,7.50E-03,2.50E-14
4.00E+00,5.00E+10,UXR,1.80E-02,2.50E-14
6.00E-02,5.90E+10,UXR,4.60E-04,2.50E-14
1.00E-01,5.90E+10,UXR,6.40E-04,2.50E-14
1.60E-01,5.90E+10,UXR,9.50E-04,2.50E-14
4.00E-01,5.90E+10,UXR,2.10E-03,2.50E-14
8.00E-01,5.90E+10,UXR,4.30E-03,2.50E-14
1.60E+00,5.90E+10,UXR,8.40E-03,2.50E-14
4.00E+00,5.90E+10,UXR,2.00E-02,2.50E-14
6.00E-02,7.00E+10,UXR,5.00E-04,2.50E-14
1.00E-01,7.00E+10,UXR,6.80E-04,2.50E-14
1.60E-01,7.00E+10,UXR,9.70E-04,2.50E-14
4.00E-01,7.00E+10,UXR,2.20E-03,2.50E-14
8.00E-01,7.00E+10,UXR,4.50E-03,2.50E-14
1.60E+00,7.00E+10,UXR,9.00E-03,2.50E-14
4.00E+00,7.00E+10,UXR,2.10E-02,2.50E-14
6.00E-02,8.00E+10,UXR,5.80E-04,2.50E-14
1.00E-01,8.00E+10,UXR,7.80E-04,2.50E-14
1.60E-01,8.00E+10,UXR,1.10E-03,2.50E-14
4.00E-01,8.00E+10,UXR,2.40E-03,2.50E-14
8.00E-01,8.00E+10,UXR,4.80E-03,2.50E-14
1.60E+00,8.00E+10,UXR,9.70E-03,2.50E-14
4.00E+00,8.00E+10,UXR,2.30E-02,2.50E-14
6.00E-02,1.00E+11,UXR,7.70E-04,2.50E-14
1.00E-01,1.00E+11,UXR,9.90E-04,2.50E-14
1.60E-01,1.00E+11,UXR,1.40E-03,2.50E-14
4.00E-01,1.00E+11,UXR,2.80E-03,2.50E-14
8.00E-01,1.00E+11,UXR,5.80E-03,2.50E-14
1.60E+00,1.00E+11,UXR,1.20E-02,2.50E-14
4.00E+00,1.00E+11,UXR,2.70E-02,2.50E-14
6.00E-02,1.10E+11,UXR,8.60E-04,2.50E-14
1.00E-01,1.10E+11,UXR,1.10E-03,2.50E-14
1.60E-01,1.10E+11,UXR,1.50E-03,2.50E-14
4.00E-01,1.10E+11,UXR,2.90E-03,2.50E-14
8.00E-01,1.10E+11,UXR,6.10E-03,2.50E-14
1.60E+00,1.10E+11,UXR,1.30E-02,2.50E-14
4.00E+00,1.10E+11,UXR,2.90E-02,2.50E-14
8.00E-02,2.00E+10,Z-Series,4.10E-04,5.00E-14
4.00E-01,2.00E+10,Z-Series,1.46E-03,5.00E-14
8.00E-01,2.00E+10,Z-Series,2.90E-03,5.00E-14
8.00E+00,2.00E+10,Z-Series,2.86E-02,5.00E-14
8.00E-02,2.50E+10,Z-Series,4.80E-04,5.00E-14
4.00E-01,2.50E+10,Z-Series,1.70E-03,5.00E-14
8.00E-01,2.50E+10,Z-Series,3.30E-03,5.00E-14
8.00E+00,2.50E+10,Z-Series,3.25E-02,5.00E-14
8.00E-02,3.30E+10,Z-Series,6.00E-04,5.00E-14
4.00E-01,3.30E+10,Z-Series,2.00E-03,5.00E-14
8.00E-01,3.30E+10,Z-Series,3.90E-03,5.00E-14
8.00E+00,3.30E+10,Z-Series,3.81E-02,5.00E-14
8.00E-02,5.00E+10,Z-Series,9.00E-04,5.00E-14
4.00E-01,5.00E+10,Z-Series,2.90E-03,5.00E-14
8.00E-01,5.00E+10,Z-Series,5.70E-03,5.00E-14
8.00E+00,5.00E+10,Z-Series,5.67E-02,5.00E-14
8.00E-02,5.90E+10,Z-Series,9.60E-04,5.00E-14
4.00E-01,5.90E+10,Z-Series,3.15E-03,5.00E-14
8.00E-01,5.90E+10,Z-Series,6.20E-03,5.00E-14
8.00E+00,5.90E+10,Z-Series,6.00E-02,5.00E-14
8.00E-02,6.30E+10,Z-Series,1.00E-03,5.00E-14
4.00E-01,6.30E+10,Z-Series,3.30E-03,5.00E-14
8.00E-01,6.30E+10,Z-Series,6.40E-03,5.00E-14
8.00E+00,6.30E+10,Z-Series,6.30E-02,5.00E-14
4.00E-02,8.00E+09,V-Series,2.10E-04,1.00E-13
8.00E-02,8.00E+09,V-Series,2.30E-04,1.00E-13
1.60E-01,8.00E+09,V-Series,4.60E-04,1.00E-13
4.00E-01,8.00E+09,V-Series,1.04E-03,1.00E-13
8.00E-01,8.00E+09,V-Series,1.92E-03,1.00E-13
1.60E+00,8.00E+09,V-Series,4.39E-03,1.00E-13
4.00E+00,8.00E+09,V-Series,1.01E-02,1.00E-13
8.00E+00,8.00E+09,V-Series,1.85E-02,1.00E-13
4.00E-02,1.30E+10,V-Series,2.70E-04,1.00E-13
8.00E-02,1.30E+10,V-Series,2.80E-04,1.00E-13
1.60E-01,1.30E+10,V-Series,5.70E-04,1.00E-13
4.00E-01,1.30E+10,V-Series,1.09E-03,1.00E-13
8.00E-01,1.30E+10,V-Series,2.30E-03,1.00E-13
1.60E+00,1.30E+10,V-Series,5.52E-03,1.00E-13
4.00E+00,1.30E+10,V-Series,1.24E-02,1.00E-13
8.00E+00,1.30E+10,V-Series,2.14E-02,1.00E-13
4.00E-02,1.60E+10,V-Series,3.10E-04,1.00E-13
8.00E-02,1.60E+10,V-Series,3.60E-04,1.00E-13
1.60E-01,1.60E+10,V-Series,6.50E-04,1.00E-13
4.00E-01,1.60E+10,V-Series,1.32E-03,1.00E-13
8.00E-01,1.60E+10,V-Series,2.63E-03,1.00E-13
1.60E+00,1.60E+10,V-Series,6.14E-03,1.00E-13
4.00E+00,1.60E+10,V-Series,1.37E-02,1.00E-13
8.00E+00,1.60E+10,V-Series,2.61E-02,1.00E-13
4.00E-02,2.00E+10,V-Series,3.70E-04,1.00E-13
8.00E-02,2.00E+10,V-Series,4.20E-04,1.00E-13
1.60E-01,2.00E+10,V-Series,7.40E-04,1.00E-13
4.00E-01,2.00E+10,V-Series,1.54E-03,1.00E-13
8.00E-01,2.00E+10,V-Series,3.02E-03,1.00E-13
1.60E+00,2.00E+10,V-Series,6.92E-03,1.00E-13
4.00E+00,2.00E+10,V-Series,1.51E-02,1.00E-13
8.00E+00,2.00E+10,V-Series,3.02E-02,1.00E-13
4.00E-02,2.50E+10,V-Series,4.50E-04,1.00E-13
8.00E-02,2.50E+10,V-Series,4.90E-04,1.00E-13
1.60E-01,2.50E+10,V-Series,8.30E-04,1.00E-13
4.00E-01,2.50E+10,V-Series,1.73E-03,1.00E-13
8.00E-01,2.50E+10,V-Series,3.39E-03,1.00E-13
1.60E+00,2.50E+10,V-Series,8.16E-03,1.00E-13
4.00E+00,2.50E+10,V-Series,1.71E-02,1.00E-13
8.00E+00,2.50E+10,V-Series,3.44E-02,1.00E-13
4.00E-02,3.30E+10,V-Series,5.80E-04,1.00E-13
8.00E-02,3.30E+10,V-Series,6.00E-04,1.00E-13
1.60E-01,3.30E+10,V-Series,1.04E-03,1.00E-13
4.00E-01,3.30E+10,V-Series,2.09E-03,1.00E-13
8.00E-01,3.30E+10,V-Series,3.98E-03,1.00E-13
1.60E+00,3.30E+10,V-Series,9.88E-03,1.00E-13
4.00E+00,3.30E+10,V-Series,2.03E-02,1.00E-13
8.00E+00,3.30E+10,V-Series,3.94E-02,1.00E-13
2.00E-02,1.60E+10,Rohde RTP,7.50E-04,5.00E-14
5.00E-02,1.60E+10,Rohde RTP,8.00E-04,5.00E-14
1.00E-01,1.60E+10,Rohde RTP,1.00E-03,5.00E-14
2.00E-01,1.60E+10,Rohde RTP,1.50E-03,5.00E-14
5.00E-01,1.60E+10,Rohde RTP,3.00E-03,5.00E-14
1.00E+00,1.60E+10,Rohde RTP,4.80E-03,5.00E-14
